credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,0
1,credit_card,0.1071,228.22,11.08214255,14.29,707,2760,33623,76.7,0,0,0,0
1,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,4710,3511,25.6,1,0,0,0
1,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,0
1,credit_card,0.1426,102.92,11.29973224,14.97,667,4066,4740,39.5,0,1,0,0
1,credit_card,0.0788,125.13,11.90496755,16.98,727,6120.041667,50807,51,0,0,0,0
1,debt_consolidation,0.1496,194.02,10.71441777,4,667,3180.041667,3839,76.8,0,0,1,1
1,all_other,0.1114,131.22,11.00209984,11.08,722,5116,24220,68.6,0,0,0,1
1,home_improvement,0.1134,87.19,11.40756495,17.25,682,3989,69909,51.1,1,0,0,0
1,debt_consolidation,0.1039,584.12,10.49127422,3.8,712,2760,8311,59.8,0,0,0,0
1,major_purchase,0.1513,173.65,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,0
1,all_other,0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,0
1,all_other,0.0863,474.42,10.81977828,2.59,797,11951,5656,27.6,0,0,0,0
1,credit_card,0.1355,339.6,11.51292546,7.94,662,1939.958333,21162,57.7,0,0,0,0
1,credit_card,0.0788,484.85,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,0
1,debt_consolidation,0.1229,320.19,11.26446411,8.8,672,3760.958333,4822,58.1,0,0,1,0
1,all_other,0.0901,159.03,12.4292162,10,712,1553.958333,14354,36.6,0,2,0,0
1,all_other,0.0743,155.38,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,0
1,debt_consolidation,0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0
1,credit_card,0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,0
1,home_improvement,0.0743,155.38,11.91839057,0,777,7128.958333,6053,19.5,0,0,0,0
1,home_improvement,0.0807,78.42,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,0
1,credit_card,0.087,158.3,11.22524339,15.55,757,4770,66033,23,0,0,0,0
1,all_other,0.0743,155.38,11.46163217,3.83,772,2535,3660,6.8,0,0,0,0
1,credit_card,0.0743,155.38,11.35040654,0.31,787,3540,216,0.6,0,0,0,0
1,credit_card,0.1122,164.23,11.28978191,1.21,672,3990,27185,16.1,3,0,1,0
1,debt_consolidation,0.0996,161.25,10.77895629,8.03,707,4320,28329,48.6,1,0,0,0
